player,Position,age,minutes played,90s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathias Olivera,D (LC),27,1572,17.46666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,6.7,82
Michael Kayode,D (R),20,2062,22.91111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.5,N/A
Ricardo Rodriguez,D  DM (L),32,2783,30.92222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6.4,73
Junior Sambia,D  DM (R),28,1031,11.45555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6.2,62
Alan Matturro,D (L),20,102,1.133333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.0,N/A
Benjamin Pavard,D (R),28,1678,18.64444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,7.0,85
Anthony Oyono,D (R)  DM (L),23,1198,13.31111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.5,N/A
Luca Pellegrini,D  DM (L),25,782,8.688888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.2,75
Marcus Pedersen,D  M (R),24,1603,17.81111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6.1,63
Niccolo Pierozzi,D  M (R),23,875,9.722222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.1,N/A
Giorgio Scalvini,D (RL),21,2555,28.38888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.7,79
Sebastiano Luperto,D (LC),28,3407,37.85555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,6.4,75
Yann Aurel Bisseck,D (RL),24,898,9.977777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6.9,82
Rasmus Kristensen,D  M (R),27,1741,19.34444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.2,77
Adam Masina,D (L),31,1083,12.03333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.4,76
Stefan Posch,D (R),27,2418,26.86666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,6.7,80
Pol Lirola,D (R),27,1540,17.11111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.2,70
Emanuele Valeri,D  DM (L),26,1178,13.08888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.0,74
Johan Vasquez,D (LC),26,2851,31.67777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.5,78
Adrien Tameze,D (R)  DM (C),31,2153,23.92222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6.5,69
Matias Vina,D  DM (L),27,1022,11.35555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.2,58
Lorenzo Venuti,D  M (R),29,355,3.944444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.1,56
Rafael Toloi,D (R),34,962,10.68888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.3,69
Ruben Vinagre,D  M (L),25,273,3.033333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,5.8,N/A
Mergim Vojvoda,D (R)  DM (L),30,1373,15.25555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.3,72
Jordan Zemura,D  M (L),25,1031,11.45555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.0,68
Gabriele Zappa,D (R),25,2555,28.38888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.1,73
Filippo Terracciano,D (L)  DM (R),22,1371,15.23333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.2,68
Jackson Tchatchoua,D  DM (R),23,1724,19.15555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.2,N/A
Mario Rui,D (L),33,1207,13.41111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.3,64
Mattia Viti,D (LC),23,983,10.92222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.1,62
Mateus Lusuardi,D (L),21,220,2.444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,5.8,N/A
Leonardo Spinazzola,D  M (L),31,1314,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.3,72
