Nikola Milenković,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/117191.png&w=64&h=64&output=webp&q=60
Juan Jesus,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/5412.png&w=64&h=64&output=webp&q=60
Yerry Mina,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/56087.png&w=64&h=64&output=webp&q=60
Evan N'Dicka,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/134710.png&w=64&h=64&output=webp&q=60
Marco Pellegrino,https://images.sportsbase.io/?url=https://www.footballcritic.com/images/no_player4.png&w=64&h=64&output=webp&q=60
Alessio Romagnoli,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/12230.png&w=64&h=64&output=webp&q=60
Marin Pongračić,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/104139.png&w=64&h=64&output=webp&q=60
Simone Romagnoli,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/42631.png&w=64&h=64&output=webp&q=60
Chris Smalling,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/3463.png&w=64&h=64&output=webp&q=60
Ruan,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/226098.png&w=64&h=64&output=webp&q=60
Sebastian Walukiewicz,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/141560.png&w=64&h=64&output=webp&q=60
Mateusz Wieteska,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/16391.png&w=64&h=64&output=webp&q=60
Ahmed Touba,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/137420.png&w=64&h=64&output=webp&q=60
Fikayo Tomori,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/28738.png&w=64&h=64&output=webp&q=60
Alessandro Vogliacco,https://images.sportsbase.io/?url=https://www.footballcritic.com/images/no_player4.png&w=64&h=64&output=webp&q=60
David Zima,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/284929.png&w=64&h=64&output=webp&q=60
