,EST. BASE SALARY,BIO,,PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)","POS.
 D
F
K
M",AGE,COUNTRY,CLUB
Evan N'Dicka,"€ 98,654","€ 5,130,000","€ 5,130,000",D,24,Cote d'Ivoire,Roma
Leander Dendoncker,"€ 106,923","€ 5,560,000","€ 5,560,000",M,28,Belgium,Napoli
Juan Cuadrado,"€ 89,038","€ 4,630,000","€ 4,630,000",M,35,Colombia,Inter Milan
Andrea Pinamonti,"€ 85,385","€ 4,440,000","€ 4,440,000",F,24,Italy,Sassuolo
Duván Zapata,"€ 89,038","€ 4,630,000","€ 4,630,000",F,32,Colombia,Torino
Mattia Caldara,"€ 78,269","€ 4,070,000","€ 4,070,000",D,29,Italy,AC Milan
Renato Sanches,"€ 88,846","€ 4,620,000","€ 4,620,000",M,26,Portugal,Roma
Daichi Kamada,"€ 74,038","€ 3,850,000","€ 3,850,000",F,27,Japan,Lazio
Tiago Djaló,"€ 71,154","€ 3,700,000","€ 3,700,000",D,23,Portugal,Juventus
Marko Arnautovic,"€ 74,038","€ 3,850,000","€ 3,850,000",F,34,Austria,Inter Milan
Fikayo Tomori,"€ 86,346","€ 4,490,000","€ 4,490,000",D,26,England,AC Milan
Stefano Sensi,"€ 71,154","€ 3,700,000","€ 3,700,000",M,28,Italy,Inter Milan
Arkadiusz Milik,"€ 86,346","€ 4,490,000","€ 4,490,000",F,29,Poland,Juventus
Andrea Petagna,"€ 78,269","€ 4,070,000","€ 4,070,000",F,28,Italy,Cagliari
Nicolás González,"€ 74,038","€ 3,850,000","€ 3,850,000",F,25,Argentina,Fiorentina
Daniele Rugani,"€ 71,154","€ 3,700,000","€ 3,700,000",D,29,Italy,Juventus
Davide Calabria,"€ 71,154","€ 3,700,000","€ 3,700,000",D,27,Italy,AC Milan
Moise Kean,"€ 74,038","€ 3,850,000","€ 3,850,000",F,23,Italy,Juventus
Junior Messias,"€ 71,154","€ 3,700,000","€ 3,700,000",F,32,Brazil,Genoa
Rick Karsdorp,"€ 78,269","€ 4,070,000","€ 4,070,000",D,28,Netherlands,Roma
Riccardo Orsolini,"€ 71,154","€ 3,700,000","€ 3,700,000",F,27,Italy,Bologna
Elseid Hysaj,"€ 78,269","€ 4,070,000","€ 4,070,000",D,30,Albania,Lazio
Adam Marusic,"€ 78,269","€ 4,070,000","€ 4,070,000",D,31,Montenegro,Lazio
Chris Smalling,"€ 86,346","€ 4,490,000","€ 4,490,000",D,34,England,Roma
Nicolò Rovella,"€ 71,154","€ 3,700,000","€ 3,700,000",M,22,Italy,Lazio
Olivier Giroud,"€ 86,346","€ 4,490,000","€ 4,490,000",F,37,France,AC Milan
Rui Patrício,"€ 74,038","€ 3,850,000","€ 3,850,000",K,35,Portugal,Roma
Andrea Cambiaso,"€ 85,385","€ 4,440,000","€ 4,440,000",D,24,Italy,Juventus
Houssem Aouar,"€ 69,038","€ 3,590,000","€ 3,590,000",M,25,Algeria,Roma
Matteo Darmian,"€ 61,731","€ 3,210,000","€ 3,210,000",D,34,Italy,Inter Milan
Mattéo Guendouzi,"€ 61,731","€ 3,210,000","€ 3,210,000",M,24,France,Lazio
Alex Meret,"€ 71,154","€ 3,700,000","€ 3,700,000",K,26,Italy,Napoli
Yann Sommer,"€ 61,731","€ 3,210,000","€ 3,210,000",K,35,Switzerland,Inter Milan
Mattia Zaccagni,"€ 67,692","€ 3,520,000","€ 3,520,000",F,28,Italy,Lazio
Mike Maignan,"€ 69,038","€ 3,590,000","€ 3,590,000",K,28,France,AC Milan
Arthur,"€ 61,731","€ 3,210,000","€ 3,210,000",M,27,Brazil,Fiorentina
Diego Demme,"€ 61,731","€ 3,210,000","€ 3,210,000",M,32,Germany,Napoli
André Zambo Anguissa,"€ 66,538","€ 3,460,000","€ 3,460,000",M,28,Cameroon,Napoli
Denzel Dumfries,"€ 61,731","€ 3,210,000","€ 3,210,000",M,27,Netherlands,Inter Milan
Leonardo Bonucci,"€ 67,308","€ 3,500,000","€ 3,500,000",D,36,Italy,Juventus
Matías Vecino,"€ 64,038","€ 3,330,000","€ 3,330,000",M,32,Uruguay,Lazio
